1687463397.123		47555	143	36	47311	65	47309	26	366	0	200
1687463397.298		46601	154	21	46370	56	46366	26	366	0	200
1687463397.474		45027	106	21	44823	77	44819	26	366	0	200
1687463397.647		44493	130	19	44283	61	44279	26	366	0	200
1687463397.821		42519	80	34	42357	48	42354	26	366	0	200
1687463397.994		123112	305	95	122577	135	122581	26	366	0	200
1687463398.165		107079	281	70	106671	57	106675	26	366	0	200
1687463398.337		47196	156	34	46946	60	46945	26	366	0	200
1687463398.506		45117	75	15	44968	59	44965	26	366	0	200
1687463398.677		132664	330	79	132123	132	132124	26	366	0	200
1687463398.846		43488	99	38	43289	62	43286	26	366	0	200
1687463399.014		68200	94	18	68010	78	68002	26	366	0	200
1687463399.181		115960	306	83	115507	64	115513	26	366	0	200
1687463399.348		50979	109	23	50775	72	50773	26	366	0	200
1687463399.514		120558	142	33	120251	132	120245	26	366	0	200
1687463399.679		72177	320	79	71702	76	71710	26	366	0	200
1687463399.844		130010	316	77	129502	115	129504	26	366	0	200
1687463400.008		125833	304	77	125314	138	125311	26	366	0	200
1687463400.171		41059	186	21	40788	64	40787	26	366	0	200
1687463400.335		155291	306	77	154776	132	154778	26	366	0	200
1687463400.497		116345	306	86	115884	69	115891	26	366	0	200
1687463400.658		131200	286	98	130635	181	130636	26	366	0	200
1687463400.818		128836	261	67	128370	138	128367	26	366	0	200
1687463400.978		124047	318	80	123572	77	123580	26	366	0	200
1687463401.138		130063	303	80	129548	132	129547	26	366	0	200
1687463401.298		94280	299	72	93840	69	93845	26	366	0	200
1687463401.456		135640	297	79	135120	144	135119	26	366	0	200
1687463401.613		119442	282	66	118955	139	118946	26	366	0	200
1687463401.771		130321	265	73	129845	138	129844	26	366	0	200
1687463401.927		110911	338	74	110455	44	110462	26	366	0	200
1687463402.083		42414	96	36	42226	56	42224	26	366	0	200
1687463402.239		132129	290	74	131700	65	131708	26	366	0	200
1687463402.395		43028	163	23	42768	74	42765	26	366	0	200
1687463402.548		43749	91	23	43582	53	43580	26	366	0	200
1687463402.702		44007	122	54	43779	52	43776	26	366	0	200
1687463402.855		138290	304	76	137737	173	137734	26	366	0	200
1687463403.009		123980	274	80	123502	124	123503	26	366	0	200
1687463403.160		130782	294	72	130270	146	130267	26	366	0	200
1687463403.313		138548	368	104	138007	69	138015	26	366	0	200
1687463403.463		45941	83	23	45790	45	45791	26	366	0	200
1687463403.615		69631	159	34	69349	89	69347	26	366	0	200
1687463403.764		49431	128	29	49224	50	49224	26	366	0	200
1687463403.914		134039	311	82	133478	168	133474	26	366	0	200
1687463404.064		79016	326	102	78494	94	78502	26	366	0	200
